Root,TotalCount,Variations,Examples
投扇興譜,5,1,(No 2-char parent)
四生譜,5,1,(No 2-char parent)
浙江湖州府歸安縣市鎭氏宗譜,5,1,(No 2-char parent)
劉氏宗譜,5,1,(No 2-char parent)
潤州曹氏重修宗譜,5,1,(No 2-char parent)
雪女譜,5,1,(No 2-char parent)
諸門跡譜,5,1,(No 2-char parent)
活語断続譜,5,1,(No 2-char parent)
時宗要略譜,5,1,(No 2-char parent)
琴曲指譜,5,1,(No 2-char parent)
笙ノ譜,5,1,(No 2-char parent)
紫川館蔵書画落款譜,5,1,(No 2-char parent)
粟島譜,5,1,(No 2-char parent)
後宮譜,5,1,(No 2-char parent)
釋迦譜,4,1,(No 2-char parent)
浪花擷芳譜,4,1,(No 2-char parent)
霜葉譜,4,1,(No 2-char parent)
新刀銘譜,4,1,(No 2-char parent)
食物譜,4,1,(No 2-char parent)
茶道具組合会釈器物名譜,4,1,(No 2-char parent)
桂花園墨譜,4,1,(No 2-char parent)
紫巌印章花押譜,4,1,(No 2-char parent)
格五新譜,4,1,(No 2-char parent)
催馬楽附物譜,4,1,(No 2-char parent)
朗詠譜,4,1,(No 2-char parent)
管絃按譜,4,1,(No 2-char parent)
波臣小譜,4,1,(No 2-char parent)
思貽斎管城二譜,4,1,(No 2-char parent)
篳篥仮名譜,4,1,(No 2-char parent)
詩牌譜,4,1,(No 2-char parent)
外蕃旗譜,4,1,(No 2-char parent)
泰西王氏銃譜,4,1,(No 2-char parent)
新編古押譜,4,1,(No 2-char parent)
聲光詞譜,4,1,(No 2-char parent)
三光譜,4,1,(No 2-char parent)
円頓戒脈譜,4,1,(No 2-char parent)
井家新譜,4,1,(No 2-char parent)
翎毛譜,3,1,(No 2-char parent)
華紋譜,3,1,(No 2-char parent)
百合譜,3,1,(No 2-char parent)
秋芳譜,3,1,(No 2-char parent)
草木実譜,3,1,(No 2-char parent)
蝶蜻譜,3,1,(No 2-char parent)
草木写生譜,3,1,(No 2-char parent)
日本諸州薬譜,3,1,(No 2-char parent)
蘇合香一具訳譜,3,1,(No 2-char parent)
中茘枝通譜,3,1,(No 2-char parent)
榧園泉貨譜,3,1,(No 2-char parent)
甲陽軍鑑合戦之巻畧譜,3,1,(No 2-char parent)
京江睦氏支譜,3,1,(No 2-char parent)
汪氏支譜,3,1,(No 2-char parent)
大興邵氏宗譜,3,1,(No 2-char parent)
重修邵氏宗譜,3,1,(No 2-char parent)
朱氏宗譜,3,1,(No 2-char parent)
松林朱氏宗譜,3,1,(No 2-char parent)
古渡更紗譜,3,1,(No 2-char parent)
融斎翎毛譜,3,1,(No 2-char parent)
田安譜,3,1,(No 2-char parent)
歴代帝王世統譜,3,1,(No 2-char parent)
松平譜,3,1,(No 2-char parent)
将軍略譜,3,1,(No 2-char parent)
蹴鞠譜,3,1,(No 2-char parent)
和歌披講之譜,3,1,(No 2-char parent)
白山史小説譜,3,1,(No 2-char parent)
算法盟譜,3,1,(No 2-char parent)
代講頌譜,3,1,(No 2-char parent)
鸚哥譜,3,1,(No 2-char parent)
調子品譜,3,1,(No 2-char parent)
高麗仮名譜,3,1,(No 2-char parent)
散楽肩鼓之譜,3,1,(No 2-char parent)
残楽助音譜,3,1,(No 2-char parent)
蘇合香三帖破急譜,3,1,(No 2-char parent)
竜笛延只拍子譜,3,1,(No 2-char parent)
甘州譜,3,1,(No 2-char parent)
蘆声譜,3,1,(No 2-char parent)
求古館方譜,3,1,(No 2-char parent)
琵琶按譜,3,1,(No 2-char parent)
金函名譜,3,1,(No 2-char parent)
誹檀林譜,3,1,(No 2-char parent)
歴代大仏師譜,3,1,(No 2-char parent)
菅家累譜,3,1,(No 2-char parent)
三鼓略譜,3,1,(No 2-char parent)
歴朝名公款譜,3,1,(No 2-char parent)
吾嬬筝譜,3,1,(No 2-char parent)
撫筝雅譜,3,1,(No 2-char parent)
越前家分脈譜,3,1,(No 2-char parent)
解体譜,3,1,(No 2-char parent)
画藪後八種四体譜,3,1,(No 2-char parent)
皇親譜,3,1,(No 2-char parent)
華押譜,3,1,(No 2-char parent)
風俗譜,3,1,(No 2-char parent)
改正增補諸家知譜,3,1,(No 2-char parent)
華族類別譜,3,1,(No 2-char parent)
忠興譜,3,1,(No 2-char parent)
鹽松勝譜,3,1,(No 2-char parent)
古今紅葉譜,3,1,(No 2-char parent)
浅野考譜,3,1,(No 2-char parent)
鞍鐙工譜,3,1,(No 2-char parent)
笛之譜,3,1,(No 2-char parent)
觱篥譜,3,1,(No 2-char parent)
紫巖譜,3,1,(No 2-char parent)
将棋新譜,3,1,(No 2-char parent)
寛永譜,3,1,(No 2-char parent)
御代々様略譜,3,1,(No 2-char parent)
秦箏要録譜,3,1,(No 2-char parent)
西皮工尺譜,3,1,(No 2-char parent)
大成真写譜,2,1,(No 2-char parent)
名公扇譜,2,1,(No 2-char parent)
刀茎銘譜,2,1,(No 2-char parent)
諸州譜,2,1,(No 2-char parent)
種藷譜,2,1,(No 2-char parent)
森野桂叢草木葉譜,2,1,(No 2-char parent)
一白圃躑躅譜,2,1,(No 2-char parent)
東西艸木名譜,2,1,(No 2-char parent)
諸勝名所譜,2,1,(No 2-char parent)
錦窠穀精草科譜,2,1,(No 2-char parent)
尾張譜,2,1,(No 2-char parent)
水戸譜,2,1,(No 2-char parent)
中巌月和尚自歴譜,2,1,(No 2-char parent)
播磨国竜野城主歴代譜,2,1,(No 2-char parent)
血脈道統之譜,2,1,(No 2-char parent)
諸家略譜,2,1,(No 2-char parent)
古人真蹟短冊名譜,2,1,(No 2-char parent)
神人眼睫譜,2,1,(No 2-char parent)
諸門跡之譜,2,1,(No 2-char parent)
横笛略譜,2,1,(No 2-char parent)
林春斎自叙譜,2,1,(No 2-char parent)
地本錦絵問屋譜,2,1,(No 2-char parent)
牙籌譜,2,1,(No 2-char parent)
駿藩名譜,2,1,(No 2-char parent)
打物譜,2,1,(No 2-char parent)
雲上譜,2,1,(No 2-char parent)
帰黙斎方譜,2,1,(No 2-char parent)
伏見宮琵琶譜,2,1,(No 2-char parent)
朗詠伝授譜,2,1,(No 2-char parent)
和歌披講譜,2,1,(No 2-char parent)
姉川合戦前後略譜,2,1,(No 2-char parent)
長湫柳瀬合戦前後略譜,2,1,(No 2-char parent)
古錦綺譜,2,1,(No 2-char parent)
蘿軒変古箋譜,2,1,(No 2-char parent)
伝授譜,2,1,(No 2-char parent)
和琴之譜,2,1,(No 2-char parent)
古刊本残頁譜,2,1,(No 2-char parent)
竜笛枢要譜,2,1,(No 2-char parent)
明清書画款譜,2,1,(No 2-char parent)
爪調譜,2,1,(No 2-char parent)
撥合調子譜,2,1,(No 2-char parent)
鳳凰管要略譜,2,1,(No 2-char parent)
蘇合香一具仮名譜,2,1,(No 2-char parent)
蘇合香万秋楽仮名譜,2,1,(No 2-char parent)
万秋楽仮名譜,2,1,(No 2-char parent)
万歳楽鳥破只拍子譜,2,1,(No 2-char parent)
諸調子品橃合譜,2,1,(No 2-char parent)
懐中譜,2,1,(No 2-char parent)
柳花苑譜,2,1,(No 2-char parent)
蘇合香万秋楽春鶯囀皇麞譜,2,1,(No 2-char parent)
止観微旨掌中譜,2,1,(No 2-char parent)
乎古止点譜,2,1,(No 2-char parent)
修製譜,2,1,(No 2-char parent)
手綱譜,2,1,(No 2-char parent)
折下外記先祖并武功之譜,2,1,(No 2-char parent)
菓子譜,2,1,(No 2-char parent)
塩松勝譜,2,1,(No 2-char parent)
群英譜,2,1,(No 2-char parent)
大成銘譜,2,1,(No 2-char parent)
国字類聚略方譜,2,1,(No 2-char parent)
浄瑠璃譜,2,1,(No 2-char parent)
蜻蜒譜,2,1,(No 2-char parent)
蘇合香及黄鐘調盤渉調譜,2,1,(No 2-char parent)
後陽成院至桜町院皇子女略譜,2,1,(No 2-char parent)
琵琶ノ譜,2,1,(No 2-char parent)
篳篥略譜,2,1,(No 2-char parent)
鳳笙五十五曲之譜,2,1,(No 2-char parent)
鳳笙略譜,2,1,(No 2-char parent)
高麗篳篥譜,2,1,(No 2-char parent)
舞按譜,2,1,(No 2-char parent)
左舞按譜,2,1,(No 2-char parent)
医聖書院合薬房略方譜,2,1,(No 2-char parent)
位階沿革譜,2,1,(No 2-char parent)
璿源譜,2,1,(No 2-char parent)
芳烈公略譜,2,1,(No 2-char parent)
丁丑朝顔譜,2,1,(No 2-char parent)
雪登齋点俳譜,2,1,(No 2-char parent)
日本俳譜,2,1,(No 2-char parent)
漢音梵唄譜,2,1,(No 2-char parent)
俳諧点譜,2,1,(No 2-char parent)
