Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
354,雕譜 (1),曲要譜 (2),護宗略譜 (1),袖寶古錢譜 (1),附法諸祖伝譜 (1),,,
355,辞譜 (1),得略譜 (2),蘭橘柿譜 (1),仙臺棟梁譜 (1),朝歴代帝王譜 (1),,,
356,遺譜 (1),除御譜 (2),古止点譜 (1),家金銀錢譜 (1),光東遊諸歌譜 (1),,,
357,枝譜 (1),居琴譜 (2),武功之譜 (1),中騷動之譜 (1),巫子舞神楽譜 (1),,,
358,,笛楽譜 (2),唐菓子譜 (1),甲斐喧嘩譜 (1),新撰八雲琴譜 (1),,,
359,,子並譜 (2),夷草木譜 (1),流刑閉門譜 (1),庭楽回抔楽譜 (1),,,
360,,表曲譜 (2),塩松勝譜 (1),説文字原譜 (1),安摩陵王舞譜 (1),,,
361,,神樂譜 (2),之巻略譜 (1),米菴藏筆譜 (1),俊賀今様墨譜 (1),,,
362,,山仮譜 (2),軍鑑略譜 (1),日本古劔譜 (1),附笛譜和琴譜 (1),,,
363,,集仮譜 (2),名衆名譜 (1),双紙褾帋譜 (1),楽五聖楽私譜 (1),,,
364,,女名譜 (2),声抄略譜 (1),傳八雲琴譜 (1),衆経音義韻譜 (1),,,
365,,常源譜 (1),集仮名譜 (1),日向之国譜 (1),神宮神楽歌譜 (1),,,
366,,城秘譜 (1),門人碁譜 (1),國朝年號譜 (1),観生居月琴譜 (1),,,
367,,々御譜 (1),宝暦碁譜 (1),并三虚靈譜 (1),世家伝仮面譜 (1),,,
368,,楽楽譜 (1),聚略方譜 (1),西秦樂意譜 (1),山蠆芥集仮譜 (1),,,
369,,ン楽譜 (1),東照公譜 (1),氏玉篇韻譜 (1),禁裏楽器并譜 (1),,,
370,,人物譜 (1),台徳公譜 (1),遠楽比巴譜 (1),還城楽右舞譜 (1),,,
371,,英雄譜 (1),大猷公譜 (1),麗楽両絃譜 (1),音初二三重譜 (1),,,
372,,博物譜 (1),厳有公譜 (1),高麗曲箏譜 (1),和解音曲笛譜 (1),,,
373,,植物譜 (1),常憲公譜 (1),高麗曲笛譜 (1),ゴリオ聖歌譜 (1),,,
374,,呉蕈譜 (1),文昭公譜 (1),授書並楽譜 (1),願寺代々略譜 (1),,,
375,,氏介譜 (1),有章公譜 (1),狛氏打物譜 (1),家竜笛要録譜 (1),,,
376,,名所譜 (1),有徳公譜 (1),近真陵王譜 (1),朝歴代年号譜 (1),,,
377,,活字譜 (1),惇信公譜 (1),秘曲仮名譜 (1),名産梅枝伝譜 (1),,,
378,,合字譜 (1),浚明公譜 (1),三五之秘譜 (1),訂合聲簡字譜 (1),,,
379,,楽本譜 (1),血脈之譜 (1),模様振袖譜 (1),東皐禪師琴譜 (1),,,
380,,復訳譜 (1),祝権祝譜 (1),行歴代名譜 (1),時名家新俳譜 (1),,,
381,,尾張譜 (1),鳳鳴秘譜 (1),行堂声明譜 (1),,,,
382,,冊名譜 (1),子女略譜 (1),明曲方章譜 (1),,,,
383,,掛リ譜 (1),名公欸譜 (1),寺声明古譜 (1),,,,
384,,武略譜 (1),麗觱篥譜 (1),声明相承譜 (1),,,,
385,,松平譜 (1),琵琶案譜 (1),并伽陀仮譜 (1),,,,
386,,真形譜 (1),蕉庵琴譜 (1),士習所仮譜 (1),,,,
387,,現御譜 (1),捷要琴譜 (1),諸家仮面譜 (1),,,,
388,,軍略譜 (1),八雲箏譜 (1),笛假名案譜 (1),,,,
389,,成業譜 (1),楽風俗譜 (1),新撰笙笛譜 (1),,,,
390,,院宮譜 (1),治撰定譜 (1),定外鳳笙譜 (1),,,,
391,,流笛譜 (1),草者舞譜 (1),撰定鳳笙譜 (1),,,,
392,,作文譜 (1),朗詠歌譜 (1),南朝皇胤譜 (1),,,,
393,,跡之譜 (1),付物ノ譜 (1),一具撃物譜 (1),,,,
394,,尽鞠譜 (1),子琵琶譜 (1),具笙箏両譜 (1),,,,
395,,親戚譜 (1),楽假名譜 (1),具笛撃物譜 (1),,,,
396,,外戚譜 (1),右舞略譜 (1),一具鳳笙譜 (1),,,,
397,,書並譜 (1),琴楽ノ譜 (1),合香横笛譜 (1),,,,
398,,小説譜 (1),房略方譜 (1),香羯鼓之譜 (1),,,,
399,,画竹譜 (1),文齋書譜 (1),合薬房方譜 (1),,,,
400,,能略譜 (1),通寶錢譜 (1),製薬房方譜 (1),,,,
401,,殿竹譜 (1),楽太鼓譜 (1),軒内科方譜 (1),,,,
402,,肩鼓譜 (1),階沿革譜 (1),合万秋楽譜 (1),,,,
403,,世碁譜 (1),史姓名譜 (1),秋宮横笛譜 (1),,,,
404,,牙籌譜 (1),山道路譜 (1),付笠間氏譜 (1),,,,
405,,雷秘譜 (1),往来略譜 (1),補万国旗譜 (1),,,,
406,,洞門譜 (1),竹堂書譜 (1),量秋鳳笙譜 (1),,,,
407,,今田譜 (1),採荼庵譜 (1),繁秋鳳笙譜 (1),,,,
408,,羯皷譜 (1),国長崎譜 (1),竜秋鳳笙譜 (1),,,,
409,,斎方譜 (1),俳諧点譜 (1),笙只拍子譜 (1),,,,
410,,指掌譜 (1),地他日譜 (1),幸秋鳳笙譜 (1),,,,
411,,四穴譜 (1),菅家累譜 (1),御田祭歌譜 (1),,,,
412,,子秘譜 (1),法嗣法譜 (1),御神楽歌譜 (1),,,,
413,,堂硯譜 (1),御残御譜 (1),流声明私譜 (1),,,,
414,,説秘譜 (1),改革依譜 (1),書伽陀仮譜 (1),,,,
415,,秘説譜 (1),並大鼓譜 (1),竹臨調子譜 (1),,,,
416,,波舞譜 (1),寺觱楽譜 (1),梅花楼琴譜 (1),,,,
417,,琴古譜 (1),法貫通譜 (1),野流平曲譜 (1),,,,
418,,琴楽譜 (1),囀鳳笙譜 (1),竜笛仮字譜 (1),,,,
419,,箏古譜 (1),琵琶古譜 (1),旦御目見譜 (1),,,,
420,,明楽譜 (1),辻家笛譜 (1),初鎧源氏譜 (1),,,,
421,,三五譜 (1),篳篥曲譜 (1),家伝来舞譜 (1),,,,
422,,十首譜 (1),懐中略譜 (1),林家右舞譜 (1),,,,
423,,楽破譜 (1),城楽秘譜 (1),林家鳳笙譜 (1),,,,
424,,天楽譜 (1),酒舞案譜 (1),八十八曲譜 (1),,,,
425,,貴徳譜 (1),飲酒舞譜 (1),立合右舞譜 (1),,,,
426,,席田譜 (1),光自筆譜 (1),猶懐中笙譜 (1),,,,
427,,秘蔵譜 (1),楽歌案譜 (1),広貫右舞譜 (1),,,,
428,,鞨皷譜 (1),馬楽案譜 (1),広貫琵琶譜 (1),,,,
429,,楽維譜 (1),楽笛古譜 (1),楽和琴秘譜 (1),,,,
430,,城楽譜 (1),倉蛬古譜 (1),調太食調譜 (1),,,,
431,,皇帝譜 (1),季今様譜 (1),琵琶四巻譜 (1),,,,
432,,律音譜 (1),笛秘伝譜 (1),琶引方案譜 (1),,,,
433,,私案譜 (1),倭舞歌譜 (1),楽用篳篥譜 (1),,,,
434,,宗略譜 (1),成真写譜 (1),舞楽用笛譜 (1),,,,
435,,橘柿譜 (1),西秦樂譜 (1),楽用鳳笙譜 (1),,,,
436,,止点譜 (1),訓蒙字譜 (1),定輔琵琶譜 (1),,,,
437,,修製譜 (1),西洋記譜 (1),俗篳篥本譜 (1),,,,
438,,手綱譜 (1),名公書譜 (1),一節切笛譜 (1),,,,
439,,功之譜 (1),笙絃合譜 (1),居一絃琴譜 (1),,,,
440,,古韻譜 (1),箏平調譜 (1),授四大曲譜 (1),,,,
441,,群英譜 (1),笛鳳笙譜 (1),平岩流乱譜 (1),,,,
442,,川堤譜 (1),楽曲琴譜 (1),平曲四絃譜 (1),,,,
443,,巻略譜 (1),介斎良譜 (1),琵琶一部譜 (1),,,,
444,,鑑略譜 (1),還閣琴譜 (1),鳳凰管略譜 (1),,,,
445,,衆名譜 (1),録海棠譜 (1),鳳管要略譜 (1),,,,
446,,鐙師譜 (1),睡斎略譜 (1),山引声墨譜 (1),,,,
447,,抄略譜 (1),流筝曲譜 (1),管弦之秘譜 (1),,,,
448,,人碁譜 (1),梁麗日譜 (1),鳳笙大曲譜 (1),,,,
449,,暦碁譜 (1),奉行職譜 (1),笙中小曲譜 (1),,,,
450,,照公譜 (1),皇統略譜 (1),鳳笙要略譜 (1),,,,
451,,猷公譜 (1),葭堂琴譜 (1),鳳笙竜笛譜 (1),,,,
452,,有公譜 (1),関氏略譜 (1),笙呂律秘譜 (1),,,,
453,,憲公譜 (1),一代雑譜 (1),鳴抄付箏譜 (1),,,,
454,,昭公譜 (1),過庭書譜 (1),楽外五曲譜 (1),,,,
455,,章公譜 (1),種四体譜 (1),只拍子箏譜 (1),,,,
456,,信公譜 (1),源氏畧譜 (1),只拍子笛譜 (1),,,,
457,,明公譜 (1),旗章略譜 (1),万秋楽笙譜 (1),,,,
458,,脈之譜 (1),弘化句譜 (1),合香大曲譜 (1),,,,
459,,権祝譜 (1),画独楽譜 (1),秋楽篳篥譜 (1),,,,
460,,蜻蜒譜 (1),楽舞全譜 (1),万秋楽秘譜 (1),,,,
461,,鳴秘譜 (1),育唱歌譜 (1),琵琶対照譜 (1),,,,
462,,菩薩譜 (1),寺篳篥譜 (1),秋楽鳳笙譜 (1),,,,
463,,女略譜 (1),伝血脉譜 (1),御田祭楽譜 (1),,,,
464,,公欸譜 (1),本留真譜 (1),田流箏曲譜 (1),,,,
465,,琶案譜 (1),王氏銃譜 (1),并巫子舞譜 (1),,,,
466,,月照譜 (1),セン源譜 (1),山井流琴譜 (1),,,,
467,,庵琴譜 (1),皇后略譜 (1),神楽歌舞譜 (1),,,,
468,,要琴譜 (1),山申氏譜 (1),王荒序笙譜 (1),,,,
469,,雲箏譜 (1),年間日譜 (1),荒序鳳笙譜 (1),,,,
470,,撰定譜 (1),島草木譜 (1),荒序舞秘譜 (1),,,,
471,,妓楽譜 (1),郡賢押譜 (1),経々頭私譜 (1),,,,
472,,歌奏譜 (1),像図絵譜 (1),趣経中曲譜 (1),,,,
473,,者舞譜 (1),物館獣譜 (1),球三絃楽譜 (1),,,,
474,,詠歌譜 (1),右舞古譜 (1),竜吟仮名譜 (1),,,,
475,,物ノ譜 (1),萓陵篳譜 (1),大曲仮名譜 (1),,,,
476,,楽ノ譜 (1),調子密譜 (1),竜笛大曲譜 (1),,,,
477,,齋書譜 (1),来新作譜 (1),笛中小曲譜 (1),,,,
478,,寶錢譜 (1),琴弾法譜 (1),竜笛秘曲譜 (1),,,,
479,,沿革譜 (1),陀附物譜 (1),新羅陵王譜 (1),,,,
480,,姓名譜 (1),郢曲案譜 (1),塵并糸竹譜 (1),,,,
481,,道路譜 (1),曲篳篥譜 (1),呂律風俗譜 (1),,,,
482,,来略譜 (1),達家略譜 (1),舞人輪作譜 (1),,,,
483,,荼庵譜 (1),斐少将譜 (1),作古言調譜 (1),,,,
484,,長崎譜 (1),館林侯譜 (1),朗詠今様譜 (1),,,,
485,,諧点譜 (1),県草木譜 (1),並郢曲墨譜 (1),,,,
486,,他日譜 (1),水人薓譜 (1),御両国御譜 (1),,,,
487,,家累譜 (1),芸林名譜 (1),宇都宮御譜 (1),,,,
488,,嗣法譜 (1),三家刀譜 (1),黄檗逓代譜 (1),,,,
489,,残御譜 (1),家年暦譜 (1),中将殿藩譜 (1),,,,
490,,革依譜 (1),官禰宜譜 (1),草流庖丁譜 (1),,,,
491,,大鼓譜 (1),宮禰宜譜 (1),大野毛利譜 (1),,,,
492,,觱楽譜 (1),起源略譜 (1),小部正清譜 (1),,,,
493,,貫通譜 (1),弥家刀譜 (1),驢山住持譜 (1),,,,
494,,琶古譜 (1),家中興譜 (1),米庵藏筆譜 (1),,,,
495,,秦箏譜 (1),流善御譜 (1),鴻寳堂書譜 (1),,,,
496,,家笛譜 (1),彌太建譜 (1),古樂龍笛譜 (1),,,,
497,,篥曲譜 (1),山草木譜 (1),川忠興公譜 (1),,,,
498,,中略譜 (1),詩盆山譜 (1),筑紫流箏譜 (1),,,,
499,,舞案譜 (1),異言音譜 (1),王腕磨名譜 (1),,,,
500,,酒舞譜 (1),龍笛之譜 (1),川佰莚之譜 (1),,,,
501,,自筆譜 (1),楽歌秘譜 (1),古今名硯譜 (1),,,,
502,,歌案譜 (1),伝島津譜 (1),高麗龍笛譜 (1),,,,
503,,蛬古譜 (1),公三徳譜 (1),附物仮名譜 (1),,,,
504,,秘伝譜 (1),檍原龍譜 (1),龍笛遠曲譜 (1),,,,
505,,並同譜 (1),御裏方譜 (1),序遠曲秘譜 (1),,,,
506,,真写譜 (1),来目歌譜 (1),大師略傳譜 (1),,,,
507,,華紋譜 (1),天至之譜 (1),草談林歴譜 (1),,,,
508,,秦樂譜 (1),郢曲略譜 (1),二尊院略譜 (1),,,,
509,,蒙字譜 (1),長尾略譜 (1),佐土原藩譜 (1),,,,
510,,洋記譜 (1),度者略譜 (1),歴代法号譜 (1),,,,
511,,公書譜 (1),名調楽譜 (1),剛界念誦譜 (1),,,,
512,,絃合譜 (1),城楽舞譜 (1),寺検校略譜 (1),,,,
513,,平調譜 (1),歌妓名譜 (1),三巻書及譜 (1),,,,
514,,曲琴譜 (1),古今之譜 (1),伝法得略譜 (1),,,,
515,,斎良譜 (1),筌古文譜 (1),不動印信譜 (1),,,,
516,,長笛譜 (1),哥妓名譜 (1),三宝類聚譜 (1),,,,
517,,斎略譜 (1),大谷畧譜 (1),陽丗家畧譜 (1),,,,
518,,筝曲譜 (1),字篆韻譜 (1),寂光寺歴譜 (1),,,,
519,,麗日譜 (1),烽火全譜 (1),新鐫詩牌譜 (1),,,,
520,,行職譜 (1),冶梅竹譜 (1),歌声腔調譜 (1),,,,
521,,氏略譜 (1),知斎琴譜 (1),支那音樂譜 (1),,,,
522,,代雑譜 (1),本軼落譜 (1),真流貝之譜 (1),,,,
523,,庭書譜 (1),曲牌雅譜 (1),春日山之譜 (1),,,,
524,,長春譜 (1),清樂詞譜 (1),信流太鼓譜 (1),,,,
525,,四体譜 (1),月琴樂譜 (1),龍穏館樂譜 (1),,,,
526,,氏畧譜 (1),燕蘭小譜 (1),林姓名略譜 (1),,,,
527,,章略譜 (1),海區小譜 (1),宗学統略譜 (1),,,,
528,,皇親譜 (1),慶社曲譜 (1),家中新古譜 (1),,,,
529,,化句譜 (1),彙纂元譜 (1),諸士古新譜 (1),,,,
530,,独楽譜 (1),詞廣正譜 (1),御徒目付譜 (1),,,,
531,,舞全譜 (1),唱片曲譜 (1),圓頓戒脉譜 (1),,,,
532,,七音譜 (1),棠湖塤譜 (1),瑞聖逓代譜 (1),,,,
533,,留真譜 (1),和正音譜 (1),瑞泉寺略譜 (1),,,,
534,,氏銃譜 (1),中西食譜 (1),漢外戚略譜 (1),,,,
535,,ン源譜 (1),欽定詞譜 (1),誠斎牡丹譜 (1),,,,
536,,百蝶譜 (1),伶化裝譜 (1),山流伝法譜 (1),,,,
537,,后略譜 (1),志樓曲譜 (1),大将軍宮譜 (1),,,,
538,,申氏譜 (1),霓裳續譜 (1),石蔛蘭ノ譜 (1),,,,
539,,間日譜 (1),旋律樂譜 (1),仏義得略譜 (1),,,,
540,,南風譜 (1),京劇歌譜 (1),楚州和尚譜 (1),,,,
541,,図絵譜 (1),國朝帋譜 (1),射図指南譜 (1),,,,
542,,館獣譜 (1),全唐名譜 (1),誌釈迦氏譜 (1),,,,
543,,瞿麦譜 (1),先生琴譜 (1),台密血脉譜 (1),,,,
544,,陵篳譜 (1),四君子譜 (1),寺普明院譜 (1),,,,
545,,子密譜 (1),臺黄門譜 (1),法諸祖伝譜 (1),,,,
546,,新作譜 (1),公族略譜 (1),中将直孝譜 (1),,,,
547,,弾法譜 (1),寶古錢譜 (1),西秦楽意譜 (1),,,,
548,,遠楽譜 (1),臺棟梁譜 (1),子舞神楽譜 (1),,,,
549,,少将譜 (1),金銀錢譜 (1),撰八雲琴譜 (1),,,,
550,,林侯譜 (1),騷動之譜 (1),楽回抔楽譜 (1),,,,
551,,続蛇譜 (1),斐喧嘩譜 (1),摩陵王舞譜 (1),,,,
552,,人薓譜 (1),刑閉門譜 (1),賀今様墨譜 (1),,,,
553,,林名譜 (1),卷東音譜 (1),笛譜和琴譜 (1),,,,
554,,刀盤譜 (1),明樂祕譜 (1),英国鼓笛譜 (1),,,,
555,,年暦譜 (1),龍笛略譜 (1),五聖楽私譜 (1),,,,
556,,源略譜 (1),文字原譜 (1),黄鐘調笙譜 (1),,,,
557,,中興譜 (1),新撰錢譜 (1),経音義韻譜 (1),,,,
558,,太建譜 (1),菴藏筆譜 (1),宮神楽歌譜 (1),,,,
559,,盆山譜 (1),皇和漁譜 (1),生居月琴譜 (1),,,,
560,,言音譜 (1),本古劔譜 (1),家伝仮面譜 (1),,,,
561,,歌秘譜 (1),紙褾帋譜 (1),狂言小舞譜 (1),,,,
562,,島津譜 (1),龍笛案譜 (1),魚山集仮譜 (1),,,,
563,,原龍譜 (1),鳳笙全譜 (1),蠆芥集仮譜 (1),,,,
564,,裏方譜 (1),向之国譜 (1),裏楽器并譜 (1),,,,
565,,目歌譜 (1),朝年號譜 (1),城楽右舞譜 (1),,,,
566,,至之譜 (1),神樂略譜 (1),初二三重譜 (1),,,,
567,,曲略譜 (1),三虚靈譜 (1),催馬樂箏譜 (1),,,,
568,,印篭譜 (1),秦樂意譜 (1),太鼓教練譜 (1),,,,
569,,柑橘譜 (1),玉篇韻譜 (1),解音曲笛譜 (1),,,,
570,,尾略譜 (1),楽比巴譜 (1),リオ聖歌譜 (1),,,,
571,,者略譜 (1),狛楽笛譜 (1),寺代々略譜 (1),,,,
572,,調楽譜 (1),楽両絃譜 (1),神楽篳篥譜 (1),,,,
573,,楽舞譜 (1),麗曲箏譜 (1),歴代年号譜 (1),,,,
574,,筆墨譜 (1),麗曲笛譜 (1),産梅枝伝譜 (1),,,,
575,,宗源譜 (1),書並楽譜 (1),合聲簡字譜 (1),,,,
576,,今之譜 (1),氏打物譜 (1),皐禪師琴譜 (1),,,,
577,,古文譜 (1),高麗箏譜 (1),俳諧拾遺譜 (1),,,,
578,,將軍譜 (1),真陵王譜 (1),名家新俳譜 (1),,,,
579,,谷畧譜 (1),左方舞譜 (1),千歳点俳譜 (1),,,,
580,,篆韻譜 (1),左舞俗譜 (1),沾山点俳譜 (1),,,,
581,,火全譜 (1),左舞略譜 (1),仙果点俳譜 (1),,,,
582,,梅竹譜 (1),三絃独譜 (1),去留点俳譜 (1),,,,
583,,斎琴譜 (1),五之秘譜 (1),,,,,
584,,桜草譜 (1),三五略譜 (1),,,,,
585,,軼落譜 (1),笛鼓之譜 (1),,,,,
586,,牌雅譜 (1),謡本鼓譜 (1),,,,,
587,,樂詞譜 (1),書三徳譜 (1),,,,,
588,,琴樂譜 (1),歴代名譜 (1),,,,,
589,,蘭小譜 (1),十三帖譜 (1),,,,,
590,,區小譜 (1),平曲吟譜 (1),,,,,
591,,社曲譜 (1),堂声明譜 (1),,,,,
592,,纂元譜 (1),声明仮譜 (1),,,,,
593,,廣正譜 (1),曲方章譜 (1),,,,,
594,,崑腔譜 (1),声明古譜 (1),,,,,
595,,片曲譜 (1),明相承譜 (1),,,,,
596,,湖塤譜 (1),習所仮譜 (1),,,,,
597,,正音譜 (1),家仮面譜 (1),,,,,
598,,西食譜 (1),假名案譜 (1),,,,,
599,,定詞譜 (1),撰笙笛譜 (1),,,,,
600,,化裝譜 (1),新撰箏譜 (1),,,,,
601,,樓曲譜 (1),雅楽曲譜 (1),,,,,
602,,裳續譜 (1),外鳳笙譜 (1),,,,,
603,,律樂譜 (1),定鳳笙譜 (1),,,,,
604,,劇歌譜 (1),朝皇胤譜 (1),,,,,
605,,朝帋譜 (1),具撃物譜 (1),,,,,
606,,唐名譜 (1),笙箏両譜 (1),,,,,
607,,生琴譜 (1),笛撃物譜 (1),,,,,
608,,君子譜 (1),具鳳笙譜 (1),,,,,
609,,黄門譜 (1),香横笛譜 (1),,,,,
610,,族略譜 (1),羯鼓之譜 (1),,,,,
611,,古錢譜 (1),蘇合箏譜 (1),,,,,
612,,棟梁譜 (1),内科方譜 (1),,,,,
613,,銀錢譜 (1),宮横笛譜 (1),,,,,
614,,動之譜 (1),笠間氏譜 (1),,,,,
615,,喧嘩譜 (1),万国旗譜 (1),,,,,
616,,閉門譜 (1),田祭歌譜 (1),,,,,
617,,魚蟲譜 (1),臨調子譜 (1),,,,,
618,,卷鼓譜 (1),日本琴譜 (1),,,,,
619,,加管譜 (1),残楽案譜 (1),,,,,
620,,箏略譜 (1),花楼琴譜 (1),,,,,
621,,樂祕譜 (1),流平曲譜 (1),,,,,
622,,字原譜 (1),笛仮字譜 (1),,,,,
623,,撰錢譜 (1),御目見譜 (1),,,,,
624,,和漁譜 (1),鎧源氏譜 (1),,,,,
625,,古劔譜 (1),伝来舞譜 (1),,,,,
626,,褾帋譜 (1),家右舞譜 (1),,,,,
627,,假面譜 (1),家鳳笙譜 (1),,,,,
628,,笙全譜 (1),十八曲譜 (1),,,,,
629,,之国譜 (1),合右舞譜 (1),,,,,
630,,年號譜 (1),懐中笙譜 (1),,,,,
631,,樂略譜 (1),貫右舞譜 (1),,,,,
632,,遂笙譜 (1),貫琵琶譜 (1),,,,,
633,,虚靈譜 (1),觱篥要譜 (1),,,,,
634,,樂意譜 (1),和琴秘譜 (1),,,,,
635,,篇韻譜 (1),太食調譜 (1),,,,,
636,,比巴譜 (1),琵琶雑譜 (1),,,,,
637,,狛楽譜 (1),琶四巻譜 (1),,,,,
638,,両絃譜 (1),引方案譜 (1),,,,,
639,,曲箏譜 (1),比巴笛譜 (1),,,,,
640,,並楽譜 (1),用篳篥譜 (1),,,,,
641,,麗箏譜 (1),楽用笛譜 (1),,,,,
642,,狛笛譜 (1),用鳳笙譜 (1),,,,,
643,,方舞譜 (1),輔琵琶譜 (1),,,,,
644,,舞俗譜 (1),節切笛譜 (1),,,,,
645,,絃独譜 (1),四大曲譜 (1),,,,,
646,,五略譜 (1),岩流乱譜 (1),,,,,
647,,箏笛譜 (1),曲四絃譜 (1),,,,,
648,,本鼓譜 (1),琶一部譜 (1),,,,,
649,,代名譜 (1),凰管略譜 (1),,,,,
650,,三帖譜 (1),鳳管古譜 (1),,,,,
651,,曲吟譜 (1),引声墨譜 (1),,,,,
652,,頌琴譜 (1),弦之秘譜 (1),,,,,
653,,鉦皷譜 (1),笙大曲譜 (1),,,,,
654,,明仮譜 (1),鳳笙調譜 (1),,,,,
655,,方章譜 (1),鳳笙秘譜 (1),,,,,
656,,明古譜 (1),笙要略譜 (1),,,,,
657,,相承譜 (1),笙竜笛譜 (1),,,,,
658,,所仮譜 (1),呂律秘譜 (1),,,,,
659,,笙笛譜 (1),抄付箏譜 (1),,,,,
660,,撰箏譜 (1),拍子箏譜 (1),,,,,
661,,楽曲譜 (1),拍子笛譜 (1),,,,,
662,,皇胤譜 (1),秋楽笙譜 (1),,,,,
663,,箏両譜 (1),香大曲譜 (1),,,,,
664,,合箏譜 (1),秋楽秘譜 (1),,,,,
665,,科方譜 (1),琶対照譜 (1),,,,,
666,,長竹譜 (1),楽鳳笙譜 (1),,,,,
667,,間氏譜 (1),田祭楽譜 (1),,,,,
668,,祭歌譜 (1),流箏曲譜 (1),,,,,
669,,南宮譜 (1),巫子舞譜 (1),,,,,
670,,本琴譜 (1),倭舞旧譜 (1),,,,,
671,,国音譜 (1),倭舞古譜 (1),,,,,
672,,人長譜 (1),大和舞譜 (1),,,,,
673,,残楽譜 (1),井流琴譜 (1),,,,,
674,,楼琴譜 (1),楽歌舞譜 (1),,,,,
675,,仮字譜 (1),明楽秘譜 (1),,,,,
676,,目見譜 (1),荒序笙譜 (1),,,,,
677,,源氏譜 (1),序鳳笙譜 (1),,,,,
678,,来舞譜 (1),序舞秘譜 (1),,,,,
679,,八曲譜 (1),々頭私譜 (1),,,,,
680,,中笙譜 (1),経中曲譜 (1),,,,,
681,,原田譜 (1),三絃楽譜 (1),,,,,
682,,篥要譜 (1),吟仮名譜 (1),,,,,
683,,琴秘譜 (1),竜笛曲譜 (1),,,,,
684,,白増譜 (1),竜笛古譜 (1),,,,,
685,,食調譜 (1),竜笛全譜 (1),,,,,
686,,表白譜 (1),笛大曲譜 (1),,,,,
687,,琶雑譜 (1),竜笛之譜 (1),,,,,
688,,四巻譜 (1),竜笛本譜 (1),,,,,
689,,方案譜 (1),竜笛要譜 (1),,,,,
690,,巴笛譜 (1),竜笛略譜 (1),,,,,
691,,笛箏譜 (1),羅陵王譜 (1),,,,,
692,,用笛譜 (1),并糸竹譜 (1),,,,,
693,,切笛譜 (1),律風俗譜 (1),,,,,
694,,流乱譜 (1),人輪作譜 (1),,,,,
695,,四絃譜 (1),輪説箏譜 (1),,,,,
696,,一部譜 (1),藩祖前譜 (1),,,,,
697,,管略譜 (1),詠今様譜 (1),,,,,
698,,鳳音譜 (1),朗詠古譜 (1),,,,,
699,,管古譜 (1),朗詠略譜 (1),,,,,
700,,声墨譜 (1),郢曲墨譜 (1),,,,,
701,,方響譜 (1),両国御譜 (1),,,,,
702,,笙調譜 (1),都宮御譜 (1),,,,,
703,,笙秘譜 (1),雲箋小譜 (1),,,,,
704,,律秘譜 (1),格語新譜 (1),,,,,
705,,鳳箏譜 (1),円頓戒譜 (1),,,,,
706,,鳳笛譜 (1),檗逓代譜 (1),,,,,
707,,付箏譜 (1),将殿藩譜 (1),,,,,
708,,梵讃譜 (1),流庖丁譜 (1),,,,,
709,,毎息譜 (1),野毛利譜 (1),,,,,
710,,子箏譜 (1),部正清譜 (1),,,,,
711,,子笛譜 (1),於毛登譜 (1),,,,,
712,,楽笙譜 (1),外国旗譜 (1),,,,,
713,,対照譜 (1),開山伝譜 (1),,,,,
714,,祭楽譜 (1),香川灸譜 (1),,,,,
715,,基政譜 (1),山住持譜 (1),,,,,
716,,子舞譜 (1),庵藏筆譜 (1),,,,,
717,,舞旧譜 (1),寳堂書譜 (1),,,,,
718,,和舞譜 (1),樂龍笛譜 (1),,,,,
719,,流琴譜 (1),橘窓自譜 (1),,,,,
720,,歌舞譜 (1),忠興公譜 (1),,,,,
721,,序笙譜 (1),篳篥箏譜 (1),,,,,
722,,舞秘譜 (1),紫流箏譜 (1),,,,,
723,,頭私譜 (1),腕磨名譜 (1),,,,,
724,,竜管譜 (1),浅野考譜 (1),,,,,
725,,絃楽譜 (1),佰莚之譜 (1),,,,,
726,,笛曲譜 (1),今名硯譜 (1),,,,,
727,,笛全譜 (1),井家新譜 (1),,,,,
728,,笛本譜 (1),麗龍笛譜 (1),,,,,
729,,笛要譜 (1),物仮名譜 (1),,,,,
730,,両皷譜 (1),篳篥案譜 (1),,,,,
731,,糸竹譜 (1),笛遠曲譜 (1),,,,,
732,,輪作譜 (1),遠曲秘譜 (1),,,,,
733,,説箏譜 (1),師略傳譜 (1),,,,,
734,,祖前譜 (1),談林歴譜 (1),,,,,
735,,蓮道譜 (1),尊院略譜 (1),,,,,
736,,東遊譜 (1),土原藩譜 (1),,,,,
737,,詠古譜 (1),代法号譜 (1),,,,,
738,,詠略譜 (1),界念誦譜 (1),,,,,
739,,曲墨譜 (1),検校略譜 (1),,,,,
740,,足利譜 (1),算家経譜 (1),,,,,
741,,国御譜 (1),巻書及譜 (1),,,,,
742,,宮御譜 (1),三州御譜 (1),,,,,
743,,雲錦譜 (1),法得略譜 (1),,,,,
744,,箋小譜 (1),動印信譜 (1),,,,,
745,,語新譜 (1),宝類聚譜 (1),,,,,
746,,頓戒譜 (1),式韻私譜 (1),,,,,
747,,鸚歌譜 (1),島津秘譜 (1),,,,,
748,,殿藩譜 (1),丗家畧譜 (1),,,,,
749,,毛利譜 (1),光寺歴譜 (1),,,,,
