Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
96,蕈譜 (5),舞曲譜 (5),囀皇麞譜 (3),蘇合香笙譜 (2),照大権現御譜 (1),仕着摸様振袖譜 (1),合香一具笛撃物譜 (1),
97,詠譜 (5),笙ノ譜 (5),外五曲譜 (3),芳烈公略譜 (2),於歌道成業譜 (1),被仰蒙御残御譜 (1),蘇合香一具鳳笙譜 (1),
98,授譜 (5),月琴譜 (5),浄瑠璃譜 (3),丁丑朝顔譜 (2),馬楽並朗詠譜 (1),春鶯囀琵琶古譜 (1),及蘓香合万秋楽譜 (1),
99,徳譜 (5),島勝譜 (5),琵琶按譜 (3),登齋点俳譜 (2),催馬楽曲笛譜 (1),大神景光自筆譜 (1),田氏譜付笠間氏譜 (1),
100,指譜 (5),樂歌譜 (5),波臣小譜 (3),漢音梵唄譜 (2),曲相伝書並譜 (1),観生居月琴詞譜 (1),胖秋鳳笙只拍子譜 (1),
101,金譜 (5),刀銘譜 (4),金函名譜 (3),代大仏師譜 (2),林春斎自叙譜 (1),絃琴四季今様譜 (1),内侍所御神楽歌譜 (1),
102,雑譜 (5),食物譜 (4),三鼓略譜 (3),法口伝秘譜 (2),白山史小説譜 (1),尊応世編年略譜 (1),南山進流声明私譜 (1),
103,唄譜 (5),年青譜 (4),竜笛秘譜 (3),竜笛要略譜 (2),中山忠能略譜 (1),閣新訂名公書譜 (1),辨闍梨書伽陀仮譜 (1),
104,伝譜 (5),窪蟲譜 (4),花月琴譜 (3),簫調子安譜 (2),伝長暦指掌譜 (1),今刀劔録海棠譜 (1),十八曲竜笛仮字譜 (1),
105,旗譜 (5),千蟲譜 (4),月琴詞譜 (3),東遊諸歌譜 (2),上流泉啄木譜 (1),高虎公一代雑譜 (1),城楽芝家伝来舞譜 (1),
106,青譜 (4),雪女譜 (4),第笛之譜 (3),郢曲附物譜 (2),臣自筆琵琶譜 (1),藪後八種四体譜 (1),林家流八十八曲譜 (1),
107,訳譜 (4),統之譜 (4),吾嬬筝譜 (3),世編年略譜 (2),定本正続書譜 (1),徳川家旗章略譜 (1),林東儀立合右舞譜 (1),
108,通譜 (4),門跡譜 (4),撫筝雅譜 (3),筐小袖累譜 (2),和琴調子秘譜 (1),稚園保育唱歌譜 (1),調黄鐘調太食調譜 (1),
109,櫻譜 (4),家略譜 (4),北行日譜 (3),学心声諧譜 (2),院琵琶説秘譜 (1),師資相伝血脉譜 (1),豊家伝授四大曲譜 (1),
110,安譜 (4),五新譜 (4),楽篳篥譜 (3),訂南海包譜 (2),子以下秘説譜 (1),流血脉道統之譜 (1),伯耆大山引声墨譜 (1),
111,女譜 (4),之秘譜 (4),篳篥之譜 (3),放鄭膠柱譜 (2),台青海波舞譜 (1),本豊竹浄瑠璃譜 (1),万歳楽只拍子箏譜 (1),
112,代譜 (4),中艶譜 (4),鹽松勝譜 (3),文觧字韻譜 (2),馬楽和琴古譜 (1),那歴代皇后略譜 (1),万歳楽只拍子笛譜 (1),
