Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
130,物譜,18,釋迦譜,9,氏九十一,6,篳篥仮名譜,5
131,心中,18,曲類纂,9,九十一世,6,琴曲洋峨／,5
132,大津,18,浪華擷,9,十一世支,6,曲洋峨／撫,5
133,ぶし,18,華擷芳,9,一世支譜,6,琴学大意抄,5
134,都々,18,譜2巻,9,世支譜2,6,〔観世謡本,5
135,拍子,18,譜5卷,9,無間鐘梅,6,観世謡本〕,5
136,琴曲,18,支譜2,9,間鐘梅枝,6,観世流謡本,5
137,樂譜,18,大成抄,9,鐘梅枝伝,6,西皮工尺譜,5
138,龍笛,18,奥州安,9,常磐津節,6,工尺譜上;,5
139,世流,18,州安達,9,磐津節正,6,萬象寫眞圖,4
140,流謡,18,安達原,9,津節正本,6,象寫眞圖譜,4
141,粟嶋,17,仮名手,9,小栗判官,6,東皐琴譜1,4
142,節正,17,傾城阿,9,長唄正本,6,皐琴譜10,4
143,江戸,17,小野道,9,群賢押譜,6,琴譜10巻,4
144,公譜,17,野道風,9,南山小譜,6,武口王氏統,4
145,大全,17,太鼓譜,9,許氏説文,6,口王氏統宗,4
146,本朝,17,都々逸,9,氏説文解,6,王氏統宗世,4
147,軍記,17,東音譜,9,文解字五,6,氏統宗世譜,4
148,敵討,17,音楽紀,9,解字五音,6,統宗世譜不,4
149,稽古,17,楽紀聞,9,字五音韻,6,宗世譜不分,4
150,けい,17,曲仮名,9,五音韻譜,6,世譜不分卷,4
151,よし,17,狂言記,9,妹背山婦,6,雪女譜鉢木,4
152,古譜,17,神器譜,8,背山婦女,6,義経千本桜,4
153,盤渉,17,無間鐘,8,山婦女庭,6,歌師資相伝,4
154,壱越,17,雅譜大,8,婦女庭訓,6,二重衣恋占,4
155,指南,17,譜大成,8,鎌倉三代,6,菖蒲前操弦,4
156,譜巻,17,道風青,8,倉三代記,6,花魁莟八総,4
157,大意,17,風青柳,8,武勇問答,6,播州皿屋鋪,4
158,意抄,17,青柳硯,8,本太功記,6,傾城反魂香,4
159,浪華,16,都々一,8,増訂撫箏,6,伽羅先代萩,4
160,玉堂,16,神楽催,8,訂撫箏雅,6,壇浦兜軍記,4
161,仮面,16,楽催馬,8,横笛譜裏,6,蛭小島武勇,4
162,面譜,16,秋楽譜,8,笛譜裏書,6,小島武勇問,4
163,嶋譜,16,高麗曲,8,吾妻箏譜,6,姫小松子日,4
164,韻譜,16,撰楽譜,8,催馬楽附,6,古戦場鐘懸,4
165,奥州,16,楽譜／,8,馬楽附物,6,関取千両幟,4
166,小町,16,音楽略,8,朗詠案譜,6,伊賀越道中,4
167,津絵,16,舞歌譜,8,合戦前後,6,相模入道千,4
168,渉調,16,要略譜,8,戦前後略,6,模入道千疋,4
169,楽略,16,万歳楽,8,前後略譜,6,入道千疋犬,4
170,風俗,16,三味線,8,雅楽譜／,6,丹波与作待,4
171,いせ,16,稽古本,8,調子曲仮,6,波与作待夜,4
172,一節,16,謠本〕,8,子曲仮名,6,与作待夜の,4
173,迦譜,15,觀世流,8,蘇合香譜,6,作待夜の小,4
174,紙譜,15,声曲類,7,高麗楽譜,6,待夜の小室,4
175,0巻,15,梅山種,7,調盤渉調,6,夜の小室節,4
176,歴代,15,山種茶,7,菊譜百詠,6,国性爺合戦,4
177,譜大,15,種茶譜,7,箏曲新譜,6,有職鎌倉山,4
178,系図,15,韻勝園,7,纐纈紺屋,6,生写朝顔話,4
179,手習,15,勝園梅,7,纈紺屋譜,6,十寸見要集,4
180,調・,15,園梅譜,7,流善御譜,6,とつちりと,4
181,郢曲,15,譜目録,7,点俳譜帖,6,つちりとん,4
182,吾嬬,15,合香一,7,篳篥仮名,6,よしこの京,4
183,楽問,15,香一具,7,清風雅譜,6,しこの京の,4
184,新書,15,陣楽団,7,琴曲洋峨,6,この京の花,4
185,20,15,楽団乱,7,梁塵愚案,6,役行者大峯,4
186,琉球,15,春鶯囀,7,浪華〓芳,6,行者大峯桜,4
187,梅譜,14,楽曲考,7,華〓芳譜,6,馬楽附物譜,4
188,菜譜,14,代家督,7,譜代家来,6,香万秋楽譜,4
189,和歌,14,家督留,7,／撫箏雅,6,及高麗曲譜,4
190,魏氏,14,菊譜2,7,〔観世流,6,日本音楽略,4
191,曾我,14,五知齋,7,〔謠本〕,6,本音楽略解,4
192,代記,14,知齋琴,7,寫眞圖譜,5,／壱越調・,4
193,本忠,14,齋琴譜,7,投扇興譜,5,万秋楽仮名,4
194,吾妻,14,琴譜8,7,陽軍鑑合,5,秋楽仮名譜,4
195,高砂,14,譜8卷,7,軍鑑合戦,5,壱越調平調,4
196,按譜,14,器譜5,7,鑑合戦之,5,／大坪流馬,4
197,歌舞,14,甲陽軍,7,合戦之巻,5,帝王譜略国,4
198,曲大,14,陽軍鑑,7,琴譜4卷,5,王譜略国朝,4
199,狂言,14,譜4卷,7,潤州曹氏,5,譜略国朝紀,4
200,譜1,13,譜不分,7,州曹氏重,5,粟島譜嫁入,4
