Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
78,鞠譜 (4),笛古譜 (4),楽篳篥譜 (3),竜笛要略譜 (2),子以下秘説譜 (1),今刀劔録海棠譜 (1),胖秋鳳笙只拍子譜 (1),
79,吟譜 (4),閣琴譜 (4),篳篥之譜 (3),簫調子安譜 (2),台青海波舞譜 (1),高虎公一代雑譜 (1),内侍所御神楽歌譜 (1),
80,伝譜 (4),調子譜 (4),神樂歌譜 (3),東遊諸歌譜 (2),馬楽和琴古譜 (1),徳川家旗章略譜 (1),南山進流声明私譜 (1),
81,筝譜 (4),三鼓譜 (4),秦曲笛譜 (3),郢曲附物譜 (2),秋楽宗明楽譜 (1),稚園保育唱歌譜 (1),辨闍梨書伽陀仮譜 (1),
82,島譜 (4),觱篥譜 (4),箏要録譜 (3),居月琴詞譜 (2),只拍子仮名譜 (1),師資相伝血脉譜 (1),城楽芝家伝来舞譜 (1),
83,光譜 (4),曲之譜 (4),成真写譜 (2),次第笛之譜 (2),打球楽仮名譜 (1),本豊竹浄瑠璃譜 (1),林家流八十八曲譜 (1),
84,紋譜 (3),絃按譜 (4),釈迦氏譜 (2),筐小袖累譜 (2),馬楽高麗楽譜 (1),那歴代皇后略譜 (1),林東儀立合右舞譜 (1),
85,実譜 (3),舞按譜 (4),刀茎銘譜 (2),学心声諧譜 (2),越調曲仮名譜 (1),古人肖像図絵譜 (1),調黄鐘調太食調譜 (1),
86,蝶譜 (3),王舞譜 (4),名物椿譜 (2),放鄭膠柱譜 (2),破西王楽破譜 (1),譜並小調子密譜 (1),豊家伝授四大曲譜 (1),
87,貨譜 (3),老舞譜 (4),太平鶴譜 (2),文觧字韻譜 (2),和楽十天楽譜 (1),本阿弥三家刀譜 (1),伯耆大山引声墨譜 (1),
88,紗譜 (3),梵唄譜 (4),西園蕈譜 (2),博物館介譜 (2),安名尊席田譜 (1),曲洋峨撫箏雅譜 (1),万歳楽只拍子箏譜 (1),
89,安譜 (3),琴詞譜 (4),草木実譜 (2),麗楽仮名譜 (2),並六調子曲譜 (1),藤岡鬼彌太建譜 (1),万歳楽只拍子笛譜 (1),
90,並譜 (3),粟島譜 (4),啓蒙介譜 (2),楽附物案譜 (2),旋陵王荒序譜 (1),近親得度者略譜 (1),秋楽蘇合香大曲譜 (1),
91,田譜 (3),物案譜 (4),破陣楽譜 (2),龍笛要録譜 (2),催馬楽琵琶譜 (1),御家中古今之譜 (1),秘譜并採桑老舞譜 (1),
92,盟譜 (3),氏樂譜 (4),香竜笛譜 (2),琵琶秘曲譜 (2),皇帝団乱旋譜 (1),今玄機消長八譜 (1),楽鳳笙琵琶対照譜 (1),
93,頌譜 (3),清樂譜 (4),合竜笛譜 (2),伝八雲琴譜 (2),調及催馬楽譜 (1),園新地哥妓名譜 (1),晴唐楽篳篥仮名譜 (1),
94,講譜 (3),三光譜 (4),斎翎毛譜 (2),方舞曲按譜 (2),楽及将律音譜 (1),崑戈榮慶社曲譜 (1),基風俗神楽歌舞譜 (1),
95,品譜 (3),戒脈譜 (4),庫之秘譜 (2),明清樂歌譜 (2),笙譜胡絃略譜 (1),笠菴北詞廣正譜 (1),流神道灌頂附楽譜 (1),
96,急譜 (3),大曲譜 (4),人眼睫譜 (2),遏雲閣曲譜 (2),甲陽軍鑑略譜 (1),廬自書唱片曲譜 (1),蘭陵王荒序鳳笙譜 (1),
97,麞譜 (3),治国譜 (4),横笛略譜 (2),二黄尋聲譜 (2),蘆声集仮名譜 (1),村家中騷動之譜 (1),羅陵王荒序舞秘譜 (1),
98,苑譜 (3),華紋譜 (3),鳳鼓秘譜 (2),洋行軍鼓譜 (2),道策門人碁譜 (1),原田甲斐喧嘩譜 (1),陵王破新羅陵王譜 (1),
99,声譜 (3),食物譜 (3),能楽笛譜 (2),梅花喜神譜 (2),安心血脈之譜 (1),淨土真宗五派譜 (1),臨時祭舞人輪作譜 (1),
100,璃譜 (3),具訳譜 (3),葭笛秘譜 (2),百花詩箋譜 (2),内正祝権祝譜 (1),縁起并三虚靈譜 (1),烈公御作古言調譜 (1),
