id,title,matched_pattern,reason
https://jpsearch.go.jp/data/adeac-R100000094_I000141424_00,諸士系譜 巻之39 は之部7,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141425_00,諸士系譜 巻之40 は之部8,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141426_00,諸士系譜 巻之42 は之部10,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141427_00,諸士系譜 巻之43 は之部11,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141428_00,諸士系譜 巻之44 は之部12,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141429_00,諸士系譜 巻之45 は之部13,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141430_00,諸士系譜 巻之46 は之部14,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141431_00,諸士系譜 巻之47 は之部15,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141432_00,諸士系譜 巻之48 は之部16,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141433_00,諸士系譜 巻之49 は之部17,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141434_00,諸士系譜 巻之50 に之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141435_00,諸士系譜 巻之51 に之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141436_00,諸士系譜 巻之52 に之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141437_00,諸士系譜 巻之53 に之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141438_00,諸士系譜 巻之54 ほ之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141439_00,諸士系譜 巻之55 ほ之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141440_00,諸士系譜 巻之56 ほ之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141441_00,諸士系譜 巻之57 ほ之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141442_00,諸士系譜 巻之58 と之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141443_00,諸士系譜 巻之59 と之部2,諸士,N-Gramルール除外: 「諸士」
