Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
60,工譜 (22),古画譜 (27),川家系譜 (21),竹蘭菊四譜 (11),護国公御年譜 (8),蘇合香万秋楽譜 (4),縄県下先島草木譜 (3),眞公大坂御陳御年譜 (1)
61,俳譜 (22),窠菌譜 (27),臣秀吉譜 (21),本美術図譜 (11),泰雲公御年譜 (8),坂新町遊女名譜 (4),本朝尊卑分脉系譜 (3),寛政度御書上御系譜 (1)
62,長譜 (21),羊歯譜 (27),翁略年譜 (21),手一筆画譜 (11),七言唐詩畫譜 (8),館蔵書画落款譜 (4),本草綱目啓蒙圖譜 (3),寛政四年子七月系譜 (1)
63,吉譜 (21),略年譜 (27),葉斎画譜 (20),対先生画譜 (10),五言唐詩畫譜 (8),那画家落款印譜 (4),公大坂御陳御年譜 (2),軽家一門并六家系譜 (1)
64,御譜 (20),琵琶譜 (27),雛形画譜 (20),亭花鳥画譜 (10),北斎写真画譜 (7),清名家巾箱画譜 (4),似顔大全嵐家系譜 (2),大雅堂山水樹石画譜 (1)
65,介譜 (20),尚年譜 (26),香山年譜 (20),英一蝶画譜 (10),鳥獣魚貝図譜 (7),守大慈院君年譜 (4),似顔大全実川系譜 (2),根対山先生山水画譜 (1)
66,録譜 (20),谷禽譜 (26),楠亭画譜 (19),集2卷年譜 (10),坂本浩然菌譜 (7),合会釈器物名譜 (3),顔大全惣領家系譜 (2),竹園草木図譜海草譜 (1)
67,木譜 (19),銀銭譜 (26),紫石画譜 (19),暗射指南譜 (10),翕湮解剖図譜 (7),蘇合香一具訳譜 (3),顔大全山下家系譜 (2),囀万秋楽口伝仮名譜 (1)
68,墨譜 (19),園竹譜 (26),田信長譜 (19),漢稀世泉譜 (10),四時勝概画譜 (7),装飾十六式図譜 (3),顔大全藤川家系譜 (2),破陣楽団乱旋復訳譜 (1)
69,書譜 (19),篳篥譜 (24),田家系譜 (19),草本花詩譜 (10),漁臨華氏宗譜 (7),師徽國文公年譜 (3),森野桂叢草木葉譜 (2),破陣楽団乱旋国字譜 (1)
70,音譜 (19),木性譜 (24),金工名譜 (19),木本花鳥譜 (10),毘陵沙氏族譜 (7),鑑合戦之巻畧譜 (3),勢国朝明郡内菌譜 (2),破陣楽団乱旋竜笛譜 (1)
71,樂譜 (18),家家譜 (23),物館魚譜 (19),北詞広正譜 (10),古呉朱氏宗譜 (7),歴代帝王世統譜 (3),田平九郎先生介譜 (2),破陣楽団乱旋篳篥譜 (1)
72,公譜 (17),書画譜 (23),辺氏画譜 (18),福善斎画譜 (9),大徳禅寺世譜 (7),浄土伝燈総系譜 (3),不断花園牽牛花譜 (2),ほしとんち早席画譜 (1)
73,古譜 (17),蒙図譜 (23),公長画譜 (18),浪華擷芳譜 (9),清書画人名譜 (7),瀬合戦前後略譜 (3),鰈鮫類漁貝類図譜 (2),照浄印翊聖国師年譜 (1)
74,款譜 (17),躑躅譜 (23),一筆画譜 (18),南徐派宗譜 (9),尾形流略印譜 (7),治宿禰田島系譜 (3),英勝寺歴代御系譜 (2),禅師栄尊大和尚年譜 (1)
75,扇譜 (16),皐琴譜 (23),北樹画譜 (18),休和尚年譜 (9),日本撰釋迦譜 (6),合香三帖破急譜 (3),大曲蘇合香竜笛譜 (2),磨国竜野城主歴代譜 (1)
76,参譜 (16),山魚譜 (23),古玉圖譜 (18),古梅園墨譜 (9),蜂須賀氏系譜 (6),調子及高麗曲譜 (3),光産木類写生図譜 (2),今伝師資相承当統譜 (1)
77,面譜 (16),姓統譜 (23),半山画譜 (18),内翁略年譜 (9),素絢山水画譜 (6),竜笛延只拍子譜 (3),森田流外能楽笛譜 (2),馬楽歌曲相伝書並譜 (1)
78,南譜 (16),盟算譜 (23),家御系譜 (17),書画落款譜 (9),鮮斎永濯画譜 (6),楽春鶯囀皇麞譜 (3),光村伊藤起立系譜 (2),伝正統血脈道統之譜 (1)
79,嶋譜 (16),氏画譜 (22),八種画譜 (17),補考古画譜 (9),歴代名公画譜 (6),正泊如和尚年譜 (3),姉川合戦前後略譜 (2),井深溝松平同姓系譜 (1)
80,韻譜 (16),古押譜 (22),光琳画譜 (17),倣古今畫譜 (9),聖一国師年譜 (6),狂詩五七言画譜 (3),谷山人帰去来印譜 (2),政二年書上候御系譜 (1)
81,迦譜 (15),伊年譜 (22),蘭竹画譜 (17),選名公扇譜 (9),馬湖傅氏宗譜 (6),やまとまひ歌譜 (3),有俊卿催馬楽秘譜 (2),春秋経伝長暦指掌譜 (1)
82,研譜 (15),人年譜 (22),錦窠竹譜 (17),達世臣家譜 (9),九十一世支譜 (6),詞之次第笛之譜 (3),並大嘗会田舞歌譜 (2),湫柳瀬合戦前後略譜 (1)
83,紙譜 (15),諧家譜 (22),笛要録譜 (17),巻救荒野譜 (9),間鐘梅枝伝譜 (6),度涅烏斯草木譜 (3),蘇合香一具仮名譜 (2),上原石上流泉啄木譜 (1)
84,梅譜 (14),鏨工譜 (22),笛仮名譜 (17),翁艸筆画譜 (8),十竹齋書畫譜 (6),県下先島草木譜 (3),合香万秋楽仮名譜 (2),孝道朝臣自筆琵琶譜 (1)
85,菜譜 (14),山印譜 (22),世臣家譜 (17),象写真図譜 (8),万国旗章図譜 (6),朝尊卑分脉系譜 (3),只拍子譜并三皷譜 (2),家代々公事参仕年譜 (1)
86,蟹譜 (14),真図譜 (21),浮世画譜 (16),荒草品図譜 (8),解字五音韻譜 (6),師雲居和尚年譜 (3),歳楽鳥破只拍子譜 (2),書画輯録并年譜印譜 (1)
87,棋譜 (14),工名譜 (21),誹諧家譜 (16),公私古印譜 (8),増訂撫箏雅譜 (6),布施家親戚系譜 (3),々子譜及催馬楽譜 (2),殿百拍子以下秘説譜 (1)
88,按譜 (14),秀吉譜 (21),蘭斎画譜 (15),斎先生年譜 (8),法大師弟子譜 (6),草綱目啓蒙圖譜 (3),秋楽春鶯囀皇麞譜 (2),神楽催馬楽和琴古譜 (1)
89,人譜 (13),山年譜 (21),更紗図譜 (15),家世臣家譜 (8),合戦前後略譜 (6),大坂御陳御年譜 (2),軍鑑合戦之巻略譜 (2),開祖法皇禅師略年譜 (1)
90,新譜 (13),亭画譜 (20),茶人系譜 (15),家落款印譜 (8),調子曲仮名譜 (6),阿淡御両国御譜 (2),忠公孫花山院系譜 (2),合香万秋楽宗明楽譜 (1)
91,支譜 (12),形画譜 (20),老人年譜 (15),国公御年譜 (8),本化高祖年譜 (6),竹洞四君子画譜 (2),作家玉城朝薫家譜 (2),承和楽打球楽仮名譜 (1)
92,医譜 (12),詩画譜 (20),守家家譜 (15),江増写真譜 (8),画家落款印譜 (6),梅園海石榴花譜 (2),雙調曲及延喜楽譜 (2),曲及催馬楽高麗楽譜 (1)
93,詩譜 (12),信長譜 (20),松葉蘭譜 (14),黒田続家譜 (7),楳嶺百鳥画譜 (5),三枡京枡家系譜 (2),及黄鐘調盤渉調譜 (2),序三台破西王楽破譜 (1)
94,筒譜 (11),家印譜 (20),村家系譜 (14),李用雲竹譜 (7),先生狂詩画譜 (5),顔大全嵐家系譜 (2),音對捷要真伝琴譜 (2),楽塩承和楽十天楽譜 (1)
95,蟲譜 (11),百菊譜 (20),人大系譜 (14),嶺百鳥画譜 (7),名家百扇画譜 (5),顔大全実川系譜 (2),鳳笙五十五曲之譜 (2),越調平調盤渉調曲譜 (1)
